Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,#GPT,https://twitter.com/kirawontmiss/status/1648730617318604815,kira President Biden,https://twitter.com/kirawontmiss,2023-04-19,bro you are the president. YOU do it,,https://twitter.com/kirawontmiss/status/1648730617318604815,False,596,10.2K,139.1K,5.7M
Post&amp;Comment,#GPT,https://twitter.com/kirawontmiss/status/1648709293330386944,kira B,https://twitter.com/kirawontmiss,2023-04-19,ice spice just came to the scene and she already got clones in spain,,https://twitter.com/kirawontmiss/status/1648709293330386944,False,"1,478","6,357",113.7K,11.8M
Post&amp;Comment,#GPT,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,467,"1,941",66K,1.3M
Post&amp;Comment,#GPT,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.6K,9.6M
Post&amp;Comment,#OpenAI,https://twitter.com/kirawontmiss/status/1648730617318604815,kira President Biden,https://twitter.com/kirawontmiss,2023-04-19,bro you are the president. YOU do it,,https://twitter.com/kirawontmiss/status/1648730617318604815,False,597,10.2K,139.1K,5.7M
Post&amp;Comment,#OpenAI,https://twitter.com/kirawontmiss/status/1648709293330386944,kira B,https://twitter.com/kirawontmiss,2023-04-19,ice spice just came to the scene and she already got clones in spain,,https://twitter.com/kirawontmiss/status/1648709293330386944,False,"1,478","6,357",113.8K,11.8M
Post&amp;Comment,#OpenAI,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,467,"1,941",66K,1.3M
Post&amp;Comment,#OpenAI,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.6K,9.6M
Post&amp;Comment,#ChatGPT,https://twitter.com/kirawontmiss/status/1648730617318604815,kira President Biden,https://twitter.com/kirawontmiss,2023-04-19,bro you are the president. YOU do it,,https://twitter.com/kirawontmiss/status/1648730617318604815,False,596,10.2K,139.1K,5.7M
Post&amp;Comment,#ChatGPT,https://twitter.com/kirawontmiss/status/1648709293330386944,kira B,https://twitter.com/kirawontmiss,2023-04-19,ice spice just came to the scene and she already got clones in spain,,https://twitter.com/kirawontmiss/status/1648709293330386944,False,"1,478","6,357",113.7K,11.8M
