Video_Title,Video_Link,Channel_Name,Channel_Link,Total_Views,Publish_Date,Description
"
            
            Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn
          ",https://www.youtube.com/watch?v=X3paOmcrTjQ&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,3.3M views,4 years ago,Below topics are explained in this Data Science tutorial: 00:00 Introduction 00:10 Life of a Data Scientist Steps in Data Science ...
"
            
            What is Data Science?
          ",https://www.youtube.com/watch?v=RBSUwFGa6Fk&pp=ygUMRGF0YSBTY2llbmNl,IBM Technology,https://www.youtube.com/@IBMTechnology,74K views,10 months ago,"Data Science is the convergence of computer science, mathematics, and business expertise and helps entrepreneurs predict, ..."
"
            
            What Is Data Science? (Explained in 5 Minutes)
          ",https://www.youtube.com/watch?v=uswU1s3M2VE&pp=ygUMRGF0YSBTY2llbmNl,365 Data Science,https://www.youtube.com/@365DataScience,131K views,1 year ago,You want to learn what Data Science is? And you like brief explanations? Then this is the perfect video for you! Video ...
"
            
            Data Science Career: (Is Becoming A Data Scientist ACTUALLY Worth It?)
          ",https://www.youtube.com/watch?v=O9nf1CqjGzI&pp=ygUMRGF0YSBTY2llbmNl,Shane Hummus,https://www.youtube.com/@ShaneHummus,131K views,1 year ago,---------- These videos are for entertainment purposes only and they are just Shane's opinion based off of his own life experience ...
"
            
            What REALLY is Data Science? Told by a Data Scientist
          ",https://www.youtube.com/watch?v=xC-c7E5PK0Y&pp=ygUMRGF0YSBTY2llbmNl,Joma Tech,https://www.youtube.com/@jomaoppa,3.3M views,4 years ago,Some of the links in this description are affiliate links that I get a kickback from.
"
            
            Learn Data Science Tutorial - Full Course for Beginners
          ",https://www.youtube.com/watch?v=ua-CiDNNj30&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,2.6M views,3 years ago,"Learn Data Science is this full tutorial course for absolute beginners. Data science is considered the ""sexiest job of the 21st ..."
"
            
            How I'd become a Data Analyst | If I had to start all over again
          ",https://www.youtube.com/watch?v=d_2fGS6QVDo&pp=ygUMRGF0YSBTY2llbmNl,Data With Mo,https://www.youtube.com/@datawithmo,129K views,1 month ago,"I'll show you how I'd become a data analyst in 2023, if I had to do it all over again. I've learned so many cool, but very much ..."
"
            
            Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka
          ",https://www.youtube.com/watch?v=-ETQ97mXXF0&pp=ygUMRGF0YSBTY2llbmNl,edureka!,https://www.youtube.com/@edurekaIN,3.1M views,3 years ago,-------Edureka Data Science Training & Certifications-------- Data Science Training using Python: http://bit.ly/2P2Qbl8 Data ...
"
            
            Data Science is Officially Dead
          ",https://www.youtube.com/watch?v=8ttGzR2U57A&pp=ygUMRGF0YSBTY2llbmNl,the data janitor,https://www.youtube.com/@thedatajanitor9537,3.8K views,1 month ago,"It didn't even make the top 25 jobs this year. Bye, Bye."
"
            
            What is data science || explanation ||
          ",https://www.youtube.com/watch?v=eJimwunlog0&pp=ygUMRGF0YSBTY2llbmNl,Super Tech,https://www.youtube.com/@SuperTech-tc5zc,No views,11 hours ago,what is data science used for ? analysis of complex data predicative modeling.
"
            
            The Harsh Reality of Being a Data Scientist
          ",https://www.youtube.com/watch?v=pn0PUY0jwGQ&pp=ygUMRGF0YSBTY2llbmNl,Sundas Khalid,https://www.youtube.com/@SundasKhalid,416K views,8 months ago,"Data Scientist is a great role to be in but it comes with its cons. In this video, we are discussing the unglamorous side of data ..."
"
            
            Machine Learning Series- Universe of Data Science #Day1
          ",https://www.youtube.com/watch?v=kEmnkUw0NTs&pp=ygUMRGF0YSBTY2llbmNl,Krish Naik,https://www.youtube.com/@krishnaik06,7.1K views,16 hours ago,Materials And Dashboard access after the video https://ineuron.ai/course/Machine-Learning-Community-Class Starting a new ...
"
            
            Intro to Data Science - Crash Course for Beginners
          ",https://www.youtube.com/watch?v=N6BghzuFLIg&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,372K views,4 years ago,"In this course for beginners, you will learn about: 1. Statistics: we talk about the types of data you'll encounter, types of averages, ..."
"
            
            How I Would NOT Learn Data Science in 2023.
          ",https://www.youtube.com/watch?v=t6CD1EwU5kc&pp=ygUMRGF0YSBTY2llbmNl,Ken Jee,https://www.youtube.com/@KenJee_ds,104K views,3 months ago,DataScience #KenJee In this video I talk about how I would not learn data science in 2023. I take a look at the 7 traps that data ...
"
            
            Data Science Full Course - 12 Hours | Data Science For Beginners [2023] | Edureka
          ",https://www.youtube.com/watch?v=xiEC5oFsq2s&pp=ygUMRGF0YSBTY2llbmNl,edureka!,https://www.youtube.com/@edurekaIN,60K views,Streamed 3 months ago,Edureka Online Training and Certifications DevOps Online Training: ...
"
            
            Do You Need Math for Data Science?
          ",https://www.youtube.com/watch?v=jjidSjVnOLk&pp=ygUMRGF0YSBTY2llbmNl,Sundas Khalid,https://www.youtube.com/@SundasKhalid,63K views,1 year ago,~~~ CERTIFICATES & COURSES ~~~ DATA SCIENTIST Data Science Certificate ...
"
            
            Why you should not be a data scientist
          ",https://www.youtube.com/watch?v=sOZ8MxFw8TQ&pp=ygUMRGF0YSBTY2llbmNl,Tina Huang,https://www.youtube.com/@TinaHuang1,690K views,1 year ago,"I've been a FAANG data scientist for over a year now. While that's not a lot of time, I've had the amazing opportunity to work with ..."
"
            
            Online study data science intelipaat 5.0
          ",https://www.youtube.com/watch?v=rB5rXqAmMVU&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn 5.0,https://www.youtube.com/@bangervlogbanger1006,144 views,17 hours ago,
"
            
            Data Scientist - Day in Life in NYC
          ",https://www.youtube.com/watch?v=whvCIVRLUEs&pp=ygUMRGF0YSBTY2llbmNl,Kanika Jindal,https://www.youtube.com/@kanikajindal,1.1M views,5 months ago,"I moved to New York to work at the biggest American bank. About me: Graduate student at University of Southern California, Los ..."
"
            
            How I'd Learn Data Analytics in 2023 (If I Had to Start Over)
          ",https://www.youtube.com/watch?v=f3FnCoKWmBg&pp=ygUMRGF0YSBTY2llbmNl,CareerFoundry,https://www.youtube.com/@careerfoundry,493K views,8 months ago,"Looking to get started in Data Analytics in 2023? This is the video for you! In it, we share what you need to know and the steps you ..."
"
            
            How I'd Learn Data Science In 2023 (If I Could Restart) | A Beginner's Roadmap
          ",https://www.youtube.com/watch?v=Z79AqDouS-Y&pp=ygUMRGF0YSBTY2llbmNl,Data Nash,https://www.youtube.com/@datanash8200,15K views,3 months ago,A beginner's guide to getting into data science in 2023!
"
            
            PyMC-Marketing: Bayesian Approach to Marketing Data Science
          ",https://www.youtube.com/watch?v=7a_HL5BRB-s&pp=ygUMRGF0YSBTY2llbmNl,PyMC Labs,https://www.youtube.com/@PyMCLabs,,,
"
            
            What is Data Science? | Introduction to Data Science | Data Science for Beginners | Simplilearn
          ",https://www.youtube.com/watch?v=KxryzSO1Fjs&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,455K views,5 years ago,"This Data Science tutorial will help you in understanding what is Data Science, why we need Data Science, the prerequisites for ..."
"
            
            Data Science Roadmap 2023 | Learn Data Science Skills in 6 Months
          ",https://www.youtube.com/watch?v=eaFaD_IBYW4&pp=ygUMRGF0YSBTY2llbmNl,codebasics,https://www.youtube.com/@codebasics,112K views,3 months ago,"The only roadmap you need to learn skills required for a data scientist career in 2023. No clickbait, No BS. Only real advice."
"
            
            Data Science Roadmap for beginners #datascience #dataanalytics #roadmap
          ",https://www.youtube.com/watch?v=OPprWEMmXWU&pp=ygUMRGF0YSBTY2llbmNl,Brillica Services Private Limited,https://www.youtube.com/@brillicaservicesprivatelim2415,No views,25 minutes ago,If you aspire to be a Data scientist then there are so many questions in your mind like how to start? what to learn? which is the best ...
"
            
            why Data science role?
          ",https://www.youtube.com/watch?v=oh6-wcR9VyM&pp=ygUMRGF0YSBTY2llbmNl,Akash Kumar,https://www.youtube.com/@AkashKumar-mb4pd,2 views,1 hour ago,
"
            
            How to choose between software engineering and data science | 5 Key Considerations
          ",https://www.youtube.com/watch?v=JUkSeqe1eYQ&pp=ygUMRGF0YSBTY2llbmNl,Tina Huang,https://www.youtube.com/@TinaHuang1,371K views,2 years ago,"Software Engineering vs Data Science? Last year, I made a choice between a software engineering and a data science position."
"
            
            What is Data Mining?
          ",https://www.youtube.com/watch?v=7rs0i-9nOjo&pp=ygUMRGF0YSBTY2llbmNl,IBM Technology,https://www.youtube.com/@IBMTechnology,42K views,1 year ago,"You may not have a crystal ball for predicting your business's future, but you may gain an advantage when you know how to mine ..."
"
            
            IBM Data Analyst Complete Course | Data Analyst Tutorial For Beginners,
          ",https://www.youtube.com/watch?v=1PAy6d16ADQ&pp=ygUMRGF0YSBTY2llbmNl,My Lesson,https://www.youtube.com/@MyLesson007,331K views,5 months ago,Build job-ready skills by learning from the best Get started in the in-demand field of data analytics with a Professional Certificate ...
"
            
            The Only Data Science Explanation You Need
          ",https://www.youtube.com/watch?v=rEWPqw6rMGI&pp=ygUMRGF0YSBTY2llbmNl,Ken Jee,https://www.youtube.com/@KenJee_ds,34K views,1 year ago,This video is for anyone who wants a no-nonsense explanation of what data science is and the type of work that data scientists do.
"
            
            Work Week In My Life | Data Scientist at Spotify
          ",https://www.youtube.com/watch?v=nLPve1gGSMU&pp=ygUMRGF0YSBTY2llbmNl,julia fei,https://www.youtube.com/@juliafei,815K views,11 months ago,"Hi Friends, I'm finally back with another work week in my life video! So much has changed since I filmed the last one so I wanted to ..."
"
            
            6 Times UPSC FAILED and 3 LPA in WIPRO to TOP DATA SCIENTISTS🔥 How to BEAT THE FAILURES ??😎
          ",https://www.youtube.com/watch?v=WfVhOeLW5Go&pp=ygUMRGF0YSBTY2llbmNl,E-Learning Bridge,https://www.youtube.com/@shashank_mishra,35K views,11 days ago,Join me on a journey of resilience and determination as we explore the inspiring stories of two individuals who refused to let ...
"
            
            Hiring for skills you don't have | Data Science Hangout | Oscar Baruffa, IDH
          ",https://www.youtube.com/watch?v=JvnFdl-Do-s&pp=ygUMRGF0YSBTY2llbmNl,Posit PBC,https://www.youtube.com/@PositPBC,187 views,14 hours ago,"We were joined by Oscar Baruffa, Senior Analytics Manager at IDH. We discussed the ""soft skills"" side of data science and how we ..."
"
            
            Harvard CS50 – Full Computer Science University Course
          ",https://www.youtube.com/watch?v=8mAITcNt710&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,5.4M views,5 months ago,"Learn the basics of computer science from Harvard University. This is CS50, an introduction to the intellectual enterprises of ..."
